,Year,Reporter,Import/Export,Partner,Description,Value_USD
19257,2008,China,Export,Japan,Furniture and decor,5768320028.0
65869,2008,Ireland,Import,United Kingdom,Miscellaneous food products,1887936241.223
32629,2008,China,Export,India,Metals,3698819250.0
39082,2008,France,Import,Germany,Animal products,3134558437.0
87080,2008,Germany,Export,Denmark,plastics and rubber,1406948314.3479998
99337,2008,Netherlands,Export,Belgium,Furniture and decor,1216938336.0
19996,2008,Germany,Import,China,Metals,5606663465.694
64612,2008,Switzerland,Import,Italy,"Minerals, stone, and their products",1927025798.7059999
32779,2008,Netherlands,Import,France,"Minerals, stone, and their products",3684637803.0
48627,2008,Netherlands,Import,Germany,Textiles and clothing,2558501981.0
39334,2008,Switzerland,Import,Germany,Textiles and clothing,3114225309.677
39330,2008,China,Export,South Africa,"Machinery, appliances, and tools",3114384983.0
32791,2008,Switzerland,Export,France,"Machinery, appliances, and tools",3683901456.9639997
72897,2008,Germany,Import,France,Textiles and clothing,1697720551.8999999
95278,2008,Belgium,Export,Luxembourg,Vehicles and their parts,1275195057.0
49486,2008,China,Import,Indonesia,Animal products,2514777070.0
90662,2008,Denmark,Export,Sweden,Animal products,1346487319.0
18520,2008,Switzerland,Export,Germany,Metals,5943248182.18
19979,2008,Czechia,Import,Germany,Metals,5610543464.0
48633,2008,Rep. of Korea,Export,Slovakia,"Machinery, appliances, and tools",2558187226.0
71783,2008,Netherlands,Import,Sweden,Vehicles and their parts,1725570863.0
91844,2008,China,Export,Denmark,Vehicles and their parts,1327977413.0
72896,2008,Czechia,Import,Poland,Metals,1697723000.0
64627,2008,Singapore,Import,Rep. of Korea,Vehicles and their parts,1926730194.0
71757,2008,China,Export,Spain,Furniture and decor,1726089420.0
48613,2008,Spain,Import,China,Furniture and decor,2559265872.652
55095,2008,Brazil,Import,Angola,"Minerals, stone, and their products",2262734511.0
71738,2008,Rep. of Korea,Export,Japan,plastics and rubber,1726358469.0
11366,2008,Germany,Import,Netherlands,Animal products,8695531602.367
65786,2008,Japan,Import,Indonesia,plastics and rubber,1890569246.0
48597,2008,Denmark,Import,Germany,Metals,2560327943.0
32800,2008,Singapore,Export,Netherlands,"Machinery, appliances, and tools",3683019865.0
48599,2008,Germany,Import,France,Animal products,2560103352.554
11365,2008,China,Import,Japan,"Minerals, stone, and their products",8695678692.0
9944,2008,"China, Hong Kong SAR",Import,USA,"Machinery, appliances, and tools",9656494450.0
9930,2008,USA,Export,Malaysia,"Machinery, appliances, and tools",9674298477.0
97441,2008,Japan,Export,Finland,Vehicles and their parts,1243230442.0
20017,2008,Germany,Export,Czechia,Metals,5600942186.406
80079,2008,USA,Import,Malaysia,Animal products,1538552857.0
11361,2008,Belgium,Export,United Kingdom,Vehicles and their parts,8695819723.0
84744,2008,Spain,Import,"Other Asia, nes","Machinery, appliances, and tools",1449645500.356
92123,2008,Nigeria,Export,Ghana,"Minerals, stone, and their products",1323851769.0
99654,2008,Dominican Rep.,Export,USA,"Machinery, appliances, and tools",1212695425.948
79168,2008,Australia,Export,Netherlands,"Minerals, stone, and their products",1556902286.0
18494,2008,France,Export,Italy,"Minerals, stone, and their products",5951769502.0
39316,2008,China,Export,Netherlands,Arts and games products,3115729623.0
55069,2008,Australia,Export,Singapore,"Minerals, stone, and their products",2263479892.0
49475,2008,France,Import,Spain,plastics and rubber,2515206343.0
82823,2008,Germany,Import,China,Unspecified,1484806210.9099998
38313,2008,Italy,Export,United Kingdom,Furniture and decor,3192896948.166
71800,2008,Italy,Import,Tunisia,Textiles and clothing,1725103851.6539998
38314,2008,China,Export,Canada,Furniture and decor,3192767938.0
11303,2008,Austria,Export,Germany,Metals,8737158570.0
72836,2008,Germany,Export,Rep. of Korea,Vehicles and their parts,1699222666.673
10039,2008,Australia,Import,Singapore,"Minerals, stone, and their products",9581808574.0
54110,2008,China,Import,China,plastics and rubber,2303214708.0
10025,2008,France,Import,China,Textiles and clothing,9596223629.0
64673,2008,Netherlands,Import,Costa Rica,"Machinery, appliances, and tools",1925576060.0
19913,2008,Rep. of Korea,Import,Oman,"Minerals, stone, and their products",5622726573.0
72827,2008,Spain,Import,Türkiye,Textiles and clothing,1699430328.84
19911,2008,Ukraine,Import,Turkmenistan,"Minerals, stone, and their products",5623039770.0
32751,2008,United Kingdom,Export,Belgium,Chemicals and pharmaceuticals,3687082685.0
2267,2008,USA,Import,China,Metals,26009919763.0
97414,2008,Austria,Export,United Kingdom,Vehicles and their parts,1243600694.0
39269,2008,Nigeria,Export,Netherlands,"Minerals, stone, and their products",3119356812.0
78531,2008,Canada,Import,Italy,"Machinery, appliances, and tools",1570092591.0
54111,2008,France,Export,Netherlands,Chemicals and pharmaceuticals,2303147664.0
64663,2008,Singapore,Import,Italy,"Machinery, appliances, and tools",1925817485.0
64661,2008,Poland,Export,Sweden,"Machinery, appliances, and tools",1925820949.0
48655,2008,Switzerland,Export,Germany,Textiles and clothing,2556711507.995
32770,2008,Singapore,Import,"Other Asia, nes","Minerals, stone, and their products",3685261505.0
97080,2008,China,Export,Thailand,Textiles and clothing,1248595388.0
49471,2008,Japan,Export,Russian Federation,"Machinery, appliances, and tools",2515596517.0
9986,2008,USA,Export,"China, Hong Kong SAR","Machinery, appliances, and tools",9625084324.0
72873,2008,Sweden,Import,United Kingdom,"Minerals, stone, and their products",1698321755.0
95276,2008,Germany,Import,Switzerland,Miscellaneous food products,1275255293.797
72871,2008,Japan,Import,Rep. of Korea,Unspecified,1698324114.0
92117,2008,Singapore,Export,Australia,Metals,1323978310.0
48648,2008,"Other Asia, nes",Export,Viet Nam,"Minerals, stone, and their products",2557112851.0
19954,2008,Germany,Import,Czechia,Metals,5614087854.781
94934,2008,India,Import,Angola,"Minerals, stone, and their products",1280281768.0
49466,2008,France,Export,Spain,Textiles and clothing,2515728143.0
11319,2008,China,Import,Rep. of Korea,Metals,8725979219.0
84730,2008,Tunisia,Import,Russian Federation,"Minerals, stone, and their products",1450006664.0
10008,2008,Japan,Import,China,Metals,9607941186.0
84727,2008,Belgium,Export,Sweden,Vehicles and their parts,1450027157.0
84726,2008,USA,Import,Guatemala,Textiles and clothing,1450040296.0
38307,2008,Japan,Export,Canada,"Machinery, appliances, and tools",3193251907.0
48651,2008,Spain,Export,Belgium,Vehicles and their parts,2556937585.079
64582,2008,Denmark,Import,Netherlands,"Machinery, appliances, and tools",1927891129.0
64693,2008,Italy,Export,United Arab Emirates,Metals,1924823564.948
71737,2008,China,Export,Germany,Animal products,1726387116.0
48595,2008,Rep. of Korea,Export,Indonesia,"Minerals, stone, and their products",2560458957.0
73052,2008,France,Export,United Arab Emirates,"Machinery, appliances, and tools",1694101672.0
79181,2008,Canada,Import,Peru,Metals,1556705579.0
97471,2008,Spain,Import,Denmark,"Machinery, appliances, and tools",1242854290.109
39463,2008,France,Import,Japan,Vehicles and their parts,3104007093.0
20155,2008,France,Import,United Kingdom,Vehicles and their parts,5572844176.0
38232,2008,"Other Asia, nes",Export,China,"Minerals, stone, and their products",3199515629.0
11437,2008,Netherlands,Export,Germany,Animal products,8648076868.0
99616,2008,Singapore,Export,United Arab Emirates,Metals,1213180963.0
11440,2008,Austria,Import,Germany,"Minerals, stone, and their products",8645010562.0
20147,2008,Philippines,Import,USA,"Machinery, appliances, and tools",5573977622.0
32849,2008,Spain,Export,Portugal,"Machinery, appliances, and tools",3677807964.6540003
31466,2008,USA,Export,Chile,"Minerals, stone, and their products",3820108552.0
2281,2008,Germany,Export,Italy,"Machinery, appliances, and tools",25939676782.809
90410,2008,France,Import,China,plastics and rubber,1350736587.0
83085,2008,Italy,Export,Greece,"Minerals, stone, and their products",1479979804.7979999
55137,2008,Ecuador,Import,Venezuela,"Minerals, stone, and their products",2260906948.0
88386,2008,USA,Export,Türkiye,"Minerals, stone, and their products",1384201833.0
73015,2008,Belgium,Export,Canada,Chemicals and pharmaceuticals,1694940669.0
9803,2008,Brazil,Import,USA,"Machinery, appliances, and tools",9756093007.0
11426,2008,"China, Hong Kong SAR",Import,China,Metals,8655602137.0
49534,2008,Italy,Export,Saudi Arabia,"Machinery, appliances, and tools",2512109898.315
11445,2008,Australia,Import,Japan,Vehicles and their parts,8642489569.0
55174,2008,USA,Import,Thailand,Metals,2259385626.0
73074,2008,Canada,Export,USA,Cosmetics and soaps,1693646277.0
39485,2008,Italy,Import,France,Miscellaneous food products,3103199624.7000003
20190,2008,Belgium,Import,France,Chemicals and pharmaceuticals,5565116457.0
18395,2008,United Kingdom,Export,USA,Furniture and decor,5973809722.0
82769,2008,China,Import,Australia,Textiles and clothing,1485997297.0
55171,2008,"Other Asia, nes",Export,Thailand,"Machinery, appliances, and tools",2259488784.0
31434,2008,Spain,Import,Italy,Vehicles and their parts,3824470653.863
55163,2008,Belgium,Import,France,Paper and wood,2259786653.0
20183,2008,Rep. of Korea,Import,Malaysia,"Minerals, stone, and their products",5565870569.0
20181,2008,Slovakia,Import,Germany,"Machinery, appliances, and tools",5567165573.0
20178,2008,Mexico,Import,USA,Paper and wood,5568077430.0
11450,2008,Japan,Import,China,"Minerals, stone, and their products",8639956470.0
82770,2008,Czechia,Export,Germany,Textiles and clothing,1485973000.0
39474,2008,China,Import,South Africa,Unspecified,3103584262.0
97476,2008,China,Import,Indonesia,plastics and rubber,1242835119.0
31442,2008,Italy,Export,France,plastics and rubber,3822992688.5090003
32860,2008,India,Import,"China, Hong Kong SAR",Metals,3676875113.0
9764,2008,USA,Import,Singapore,"Machinery, appliances, and tools",9782241456.0
55135,2008,Ireland,Export,Spain,Chemicals and pharmaceuticals,2260985472.5629997
32840,2008,Germany,Export,Australia,"Machinery, appliances, and tools",3678485997.061
20119,2008,Germany,Import,United Kingdom,Metals,5580294294.245
32822,2008,United Arab Emirates,Import,Germany,Vehicles and their parts,3681311063.0
72954,2008,Thailand,Export,Malaysia,plastics and rubber,1696286839.0
9883,2008,Germany,Export,China,Vehicles and their parts,9702533281.431
2136,2008,Australia,Export,Japan,"Minerals, stone, and their products",26962398000.0
38269,2008,France,Import,Kazakhstan,"Minerals, stone, and their products",3196153270.0
9891,2008,Germany,Import,Poland,"Machinery, appliances, and tools",9696809241.619
97069,2008,USA,Export,Singapore,plastics and rubber,1248926992.0
64565,2008,France,Import,Tunisia,"Machinery, appliances, and tools",1928390385.0
64547,2008,United Kingdom,Import,Finland,Paper and wood,1928781875.0
81163,2008,Italy,Export,Rep. of Korea,"Machinery, appliances, and tools",1516609394.888
99839,2008,Poland,Export,France,Metals,1210346537.0
84750,2008,Japan,Export,Viet Nam,Metals,1449592957.0
18473,2008,Malaysia,Export,Japan,"Machinery, appliances, and tools",5956016375.0
71729,2008,Austria,Export,Spain,"Machinery, appliances, and tools",1726629238.0
9900,2008,Malaysia,Export,China,"Machinery, appliances, and tools",9691452905.0
38278,2008,Belgium,Import,Italy,"Machinery, appliances, and tools",3195536691.0
9913,2008,Sudan (...2011),Export,China,"Minerals, stone, and their products",9684532180.281
9915,2008,Singapore,Export,Malaysia,"Minerals, stone, and their products",9682360665.0
39393,2008,Italy,Import,Japan,"Machinery, appliances, and tools",3109740929.636
38261,2008,Singapore,Export,Australia,"Machinery, appliances, and tools",3197012550.0
39405,2008,Rep. of Korea,Import,Russian Federation,Metals,3108807033.0
39408,2008,Netherlands,Export,Sweden,"Machinery, appliances, and tools",3108471265.0
11418,2008,China,Export,Russian Federation,Textiles and clothing,8663417231.0
48559,2008,USA,Import,Germany,Furniture and decor,2561906422.0
11417,2008,Netherlands,Export,Italy,"Machinery, appliances, and tools",8665494584.0
31489,2008,Netherlands,Export,Poland,"Machinery, appliances, and tools",3817578578.0
91838,2008,Belgium,Export,Switzerland,Metals,1328104786.0
71709,2008,Philippines,Export,Singapore,"Machinery, appliances, and tools",1727145720.0
97459,2008,Netherlands,Export,Spain,Metals,1242983860.0
72983,2008,Australia,Import,Thailand,Metals,1695632841.0
72978,2008,Russian Federation,Import,Czechia,"Machinery, appliances, and tools",1695699708.0
48563,2008,Japan,Export,Switzerland,Unspecified,2561740082.0
87091,2008,France,Export,Switzerland,Textiles and clothing,1406780007.0
32829,2008,Netherlands,Import,Algeria,"Minerals, stone, and their products",3680151037.0
95299,2008,Norway,Export,Sweden,"Machinery, appliances, and tools",1274848276.247
72974,2008,Thailand,Export,Indonesia,Vehicles and their parts,1695780561.0
55120,2008,Italy,Import,Poland,"Machinery, appliances, and tools",2261663786.24
20091,2008,Netherlands,Import,Belgium,Vehicles and their parts,5585369405.0
39409,2008,Germany,Export,Norway,Vehicles and their parts,3108423128.699
31521,2008,Japan,Export,"Other Asia, nes",Chemicals and pharmaceuticals,3813791479.0
72969,2008,Rep. of Korea,Export,"China, Hong Kong SAR",Metals,1695854515.0
55096,2008,Germany,Export,Russian Federation,plastics and rubber,2262698646.158
71809,2008,Germany,Import,Viet Nam,Textiles and clothing,1724932624.757
19902,2008,Singapore,Import,Indonesia,"Machinery, appliances, and tools",5625541848.0
55034,2008,India,Import,China,Unspecified,2265600688.0
54194,2008,Mexico,Import,Canada,"Machinery, appliances, and tools",2299019894.0
19720,2008,Denmark,Export,Sweden,"Minerals, stone, and their products",5667479401.0
80070,2008,United Kingdom,Export,USA,Miscellaneous food products,1538773418.0
39156,2008,Japan,Export,Mexico,Vehicles and their parts,3128700337.0
64842,2008,Rep. of Korea,Export,India,Vehicles and their parts,1919851971.0
99110,2008,United Kingdom,Import,Canada,Chemicals and pharmaceuticals,1219774596.0
11185,2008,USA,Export,Canada,Miscellaneous food products,8802186268.0
84681,2008,Romania,Import,Austria,"Machinery, appliances, and tools",1450810197.04
49373,2008,Thailand,Import,Rep. of Korea,"Machinery, appliances, and tools",2520505405.0
19709,2008,France,Import,United Kingdom,"Minerals, stone, and their products",5669319467.0
72656,2008,Switzerland,Export,China,Textiles and clothing,1703637207.56
31806,2008,"Other Asia, nes",Import,Germany,"Machinery, appliances, and tools",3781303933.0
38408,2008,Switzerland,Import,Germany,Paper and wood,3185466859.706
10229,2008,USA,Import,Canada,Furniture and decor,9447231084.0
11181,2008,China,Import,"Other Asia, nes",plastics and rubber,8804779744.0
39138,2008,Germany,Export,Türkiye,Unspecified,3130198845.3380003
31817,2008,Viet Nam,Import,Japan,"Machinery, appliances, and tools",3779608939.0
54909,2008,USA,Export,Türkiye,Metals,2270640636.0
54918,2008,Italy,Export,France,Animal products,2270381083.494
71902,2008,Argentina,Export,China,Animal products,1722747129.0
519,2008,Japan,Export,China,"Machinery, appliances, and tools",60778663674.0
90460,2008,Mozambique,Import,Netherlands,Unspecified,1349764896.0
54936,2008,Germany,Export,Spain,Arts and games products,2269635766.1480002
10182,2008,India,Import,Iraq,"Minerals, stone, and their products",9480743021.0
84688,2008,France,Import,Australia,"Minerals, stone, and their products",1450643636.0
19747,2008,Sweden,Import,Denmark,"Minerals, stone, and their products",5662523993.0
